id,name,description,section,subsection,type,units
1,Mulches,TODO,,,field,1
2,MulchPctGS,TODO,,,field,1
3,MulchPctOS,TODO,,,field,1
4,fMulch,TODO,,,field,1
5,Bunds,TODO,,,field,1
6,zBund,TODO,,,field,m
7,BundWater,TODO,,,field,m
