id,name
1,Cotton
2,Maize
3,Potato
4,Quinoa
5,Paddy
6,Soybean
7,Sugar beet
8,Sunflower
9,Tomato
10,Wheat
11,Barley
12,Sugar cane
13,Sorghum
14,Tef
15,Dry beans
