id,name,value,min,max,parameter_id
1,EvapZsurf,0.04,,,1
2,EvapZmin,0.15,,,2
3,EvapZmax,0.3,,,3
4,Kex,1.1,,,4
5,fevap,4,,,5
6,fWrelExp,0.4,,,6
7,fwcc,50,,,7
8,CN,61,,,8
9,zCN,0.3,,,9
10,zGerm,0.3,,,10
11,zRes,-1,,,11
12,fshape_cr,16,,,12
